imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,description_#words,movie_title
tt0003657,The Bargain,The Bargain,1914,1914-12-03,Western,70,USA,English,Reginald Barker,"William H. Clifford, Thomas H. Ince",New York Motion Picture,"William S. Hart, J. Frank Burke, Clara Williams, J. Barney Sherry, Joseph J. Dowling","After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...",6.5,144,,,,,8.0,3.0,36,the bargain
tt0004766,The Virginian,The Virginian,1914,1914-09-07,Western,55,USA,English,Cecil B. DeMille,"Owen Wister, Kirk La Shelle",Jesse L. Lasky Feature Play Company,"Dustin Farnum, Jack W. Johnston, Sydney Deane, William Elmer, Winifred Kingston, James Griswold, Horace B. Carpenter, Tex Driscoll","A good-natured but chivalrous cowboy romances the local schoolmarm and leads the posse that brings a gang of rustlers, which includes his best friend, to justice.",5.6,174,$ 17022,,,,12.0,,26,the virginian
tt0006736,The Good Bad-Man,The Good Bad-Man,1916,1916-04-21,"Romance, Western",50,USA,English,Allan Dwan,Douglas Fairbanks,Fine Arts Film Company,"Douglas Fairbanks, Sam De Grasse, Pomeroy Cannon, Joseph Singleton, Bessie Love, Mary Alden, George Beranger, Fred Burns","An outlaw calling himself Passin' Through halts his ""evil"" ways long enough to help out some children in difficulty.",6.6,166,,,,,5.0,2.0,19,the good bad-man
tt0006753,The Half-Breed,The Half-Breed,1916,1916-07-30,Western,73,USA,English,Allan Dwan,"Bret Harte, Anita Loos",Fine Arts Film Company,"Douglas Fairbanks, Alma Rubens, Sam De Grasse, Tom Wilson, Frank Brownlee, Jewel Carmen, George Beranger",An outcast named Lo Dorman encounters a young woman lost in the woods. He defends her from danger in the forest and from Sheriff Dunn.,6.6,147,,,,,9.0,6.0,25,the half-breed
tt0006780,Hell's Hinges,Hell's Hinges,1916,1916-03-05,"Romance, Western",64,USA,English,"Charles Swickard, William S. Hart","C. Gardner Sullivan, C. Gardner Sullivan",Kay-Bee Pictures,"William S. Hart, Clara Williams, Jack Standing, Alfred Hollingsworth, Robert McKim, J. Frank Burke, Louise Glaum","In the wayward western town known as Hell's Hinges, a local tough guy is reformed by the faith of a good woman.",6.8,836,,,,,21.0,11.0,22,hell's hinges
tt0008634,Straight Shooting,Straight Shooting,1917,1917-08-27,Western,57,USA,English,John Ford,George Hively,Universal Film Manufacturing Company,"Harry Carey, Duke R. Lee, George Berrell, Molly Malone, Ted Brooks, Hoot Gibson, Milton Brown, Vester Pegg","Cattleman Flint cuts off farmer Sims' water supply. When Sims' son Ted goes for water, one of Flint's men kills him. Cheyenne is sent to finish off Sims, but finding the family at the newly dug grave, he changes sides.",6.2,372,,,,,10.0,17.0,40,straight shooting
tt0008775,Wild and Woolly,Wild and Woolly,1917,1917-06-24,"Comedy, Western, Romance",72,USA,English,John Emerson,"Horace B. Carpenter, Anita Loos",Douglas Fairbanks Pictures,"Douglas Fairbanks, Eileen Percy, Calvert Carter, Charles Stevens, Sam De Grasse","A rich young Easterner who has always wanted to live in ""the Wild West"" plans to move to a Western town. Unknown to him, the town's ""wild"" days are long gone, and it is an orderly, ...",6.4,557,,,,,8.0,3.0,37,wild and woolly
tt0009153,Indemoniato,Hell Bent,1918,1918-07-06,Western,50,USA,,John Ford,"John Ford, Harry Carey",Universal Film Manufacturing Company,"Harry Carey, Duke R. Lee, Neva Gerber, Vester Pegg, Joe Harris, Steve Clemente, Millard K. Wilson, Molly Malone",A cowboy must save his girlfriend from captivity and then cross the desert on foot with a single waterhole on the way.,6.1,112,,,,,2.0,5.0,22,hell bent
tt0009900,Il ritorno al paradiso terrestre,Back to God's Country,1919,1922,"Adventure, Romance, Western",73,Canada,,David Hartford,"James Oliver Curwood, James Oliver Curwood",Canadian Photoplays Ltd.,"Nell Shipman, Charles Arling, Wheeler Oakman, Wellington A. Playter","A woman finds herself all alone in a remote harbor with the man responsible for the murder of her father. With seemingly nobody around to protect her, she has to be resourceful.",6.3,857,$ 67000,,,,11.0,6.0,32,back to god's country
tt0010662,Scarlet Days,Scarlet Days,1919,1919-11-09,"Adventure, Romance, Western",77,USA,English,D.W. Griffith,Stanner E.V. Taylor,D.W. Griffith Productions,"Richard Barthelmess, Eugenie Besserer, Carol Dempster, Clarine Seymour, Ralph Graves, George Fawcett, Walter Long, Kate Bruce, Rhea Haines, Adolph Lestina, Herbert Sutch, J. Wesley Warner","A romantic bandit named Alvarez, wanted for raids on the mining camps of the California gold rush in 1849, is reformed by the love of a good woman.",4.9,420,,,,,5.0,,28,scarlet days
tt0010726,"Il lago d'oro, ovvero I ragni","Die Spinnen, 1. Teil - Der Goldene See",1919,1922-11-13,"Adventure, Western",81,Germany,,Fritz Lang,Fritz Lang,Decla-Bioscop AG,"Carl de Vogt, Ressel Orla, Georg John, Lil Dagover, Paul Biensfeldt, Harry Frank, Gilda Langer","Kay Hoog finds a message that indicates that some Incas are still alive, but the secret organisation ""Die Spinnen"" wants the Incas' gold....",6.6,1051,,,,,12.0,22.0,23,"die spinnen, 1. teil - der goldene see"
tt0010853,Wagon Tracks,Wagon Tracks,1919,1919-07-29,Western,64,USA,,Lambert Hillyer,"C. Gardner Sullivan, C. Gardner Sullivan",William S. Hart Productions,"William S. Hart, Jane Novak, Robert McKim, Lloyd Bacon, Leo Pierson, Bert Sprotte, Charles Arling","Buckskin Hamilton guides a wagon train across the wasteland, caring well for the pioneers he escorts, but hoping to solve the murder of his brother by one of the travellers.",6.7,152,,,,,7.0,5.0,30,wagon tracks
tt0011439,Il segno di Zorro,The Mark of Zorro,1920,1922-06-23,"Adventure, Romance, Western",79,USA,,Fred Niblo,Johnston McCulley,Douglas Fairbanks Pictures,"Marguerite De La Motte, Robert McKim, Noah Beery, Charles Hill Mailes, Claire McDowell, Snitz Edwards, Sidney De Gray, George Periolat, Walt Whitman, Tote Du Crow, Douglas Fairbanks","A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.",7.1,2145,,,,,37.0,23.0,16,the mark of zorro
tt0011779,The Toll Gate,The Toll Gate,1920,1920-04-15,"Adventure, Drama, Western",73,USA,English,Lambert Hillyer,Lambert Hillyer,William S. Hart Productions,"William S. Hart, Anna Q. Nilsson, Joseph Singleton, Jack Richardson, Richard Headrick","After being betrayed to the law by one of his henchmen, a bandit leader seeks to avenge himself.",6.5,191,,,,,12.0,5.0,18,the toll gate
tt0013951,I pionieri,The Covered Wagon,1923,1924-09-08,"Adventure, Romance, Western",98,USA,English,James Cruze,"Emerson Hough, Jack Cunningham",Paramount Pictures,"J. Warren Kerrigan, Lois Wilson, Alan Hale, Ernest Torrence, Tully Marshall, Ethel Wales, Charles Ogle, Guy Oliver, Johnny Fox, James Cruze","Two wagon caravans converge at what is now Kansas City, and combine for the westward push to Oregon. On their quest the pilgrims will experience desert heat, mountain snow, hunger, and ...",6.6,505,$ 782000,,,,6.0,14.0,32,the covered wagon
tt0015016,Il cavallo d'acciaio,The Iron Horse,1924,1926-01-01,"History, Romance, Western",150,USA,English,John Ford,"Charles Kenyon, John Russell",Fox Film Corporation,"George O'Brien, Madge Bellamy, Charles Edward Bull, Cyril Chadwick, Will Walling, Francis Powers, J. Farrell MacDonald, Jim Welch, George Waggner, Fred Kohler, James A. Marcus, Gladys Hulette","After witnessing the murder of his father by a renegade as a boy, the grown-up Brandon helps to realize his father's dream of a transcontinental railway.",7.2,1898,$ 280000,,,,30.0,39.0,26,the iron horse
tt0015643,Braveheart,Braveheart,1925,1925-12-27,Western,71,USA,English,Alan Hale,"Elmer Harris, Mary O'Hara",Cinema Corporation of America,"Rod La Rocque, Lillian Rich, Robert Edeson, Arthur Housman, Frank Hagney, Jean Acker, Tyrone Power Sr., Sally Rand, Henry Victor, Nipo T. Strongheart","Chief Standing Rock's tribe has a treaty protecting their fishing grounds, but a canning corporation is violating the treaty through intimidation and force. The tribe is divided as to how ...",7.0,177,,,,,2.0,,31,braveheart
tt0015687,Clash of the Wolves,Clash of the Wolves,1925,1925-11-28,"Adventure, Romance, Western",74,USA,English,Noel M. Smith,Charles Logue,Warner Bros.,"Rin Tin Tin, Nanette, Charles Farrell, June Marlowe, Heinie Conklin, Will Walling, Pat Hartigan",A fire in the mountains drive a wolf pack into a nearby desert where they will terrorize the local residents.,6.6,243,,,,,6.0,4.0,20,clash of the wolves
tt0015863,Io e la vacca,Go West,1925,1927-02-07,"Comedy, Western",69,USA,English,Buster Keaton,"Buster Keaton, Lex Neal",Buster Keaton Productions,"Howard Truesdale, Kathleen Myers, Ray Thompson, Brown Eyes, Buster Keaton",With little luck at keeping a job in the city a New Yorker tries work in the country and eventually finds his way leading a herd of cattle to the West Coast.,7.2,3710,,,,,23.0,29.0,32,go west
tt0015881,Rapacità,Greed,1924,1925-01-26,"Drama, Thriller, Western",140,USA,English,Erich von Stroheim,"June Mathis, Erich von Stroheim",Metro-Goldwyn Pictures Corporation,"Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller, Tempe Pigott, Sylvia Ashton, Chester Conklin, Joan Standing",The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,8.1,8898,$ 546883,,,,88.0,50.0,21,greed
tt0016461,Tumbleweeds,Tumbleweeds,1925,1925-12-27,Western,78,USA,English,"King Baggot, William S. Hart","Hal G. Evarts, C. Gardner Sullivan",William S. Hart Productions,"William S. Hart, Barbara Bedford, Lucien Littlefield, J. Gordon Russell, Richard Neill, Jack Murphy, James Gordon, George F. Marion, Gertrude Claire, Lillian Leighton, Taylor N. Duncan",The government will grant a fringe of terrain for the settlers who want to live and work there. The starting sign will be a gunshot which will iniciate the run for the best fields and ...,6.5,538,$ 312000,,,,20.0,7.0,36,tumbleweeds
tt0016480,The Vanishing American,The Vanishing American,1925,1926-02-15,Western,110,USA,English,George B. Seitz,"Ethel Doherty, Zane Grey",Paramount Pictures,"Richard Dix, Lois Wilson, Noah Beery, Malcolm McGregor, Nocki, Shannon Day, Charles Crockett, Bert Woodruff, Bernard Siegel, Guy Oliver, Joe Ryan, Charles Stevens, Bruce Gordon, Richard Howard, John Webb Dillion","History, as portrayed in this film, has been a succession of conquests of stronger races over weaker ones. As played out on the stage of Monument Valley, long ago, tribes of Indians ...",6.8,288,,$ 286809,,,14.0,6.0,33,the vanishing american
tt0016939,The Great K & A Train Robbery,The Great K & A Train Robbery,1926,1926-10-17,Western,53,USA,English,Lewis Seiler,"Paul Leicester Ford, John Stone",Lew Seiler Productions,"Tom Mix, Tony the Horse, Dorothy Dwan, Will Walling, Harry Gripp, Carl Miller, Edward Peil Sr., Curtis 'Snowball' McHenry","Cullen has hired Tom to try and stop the robberies on his railroad. Knowing Cullen's secretary Holt is tipping off the gang, Tom works undercover by posing as a highwayman. To help him ...",6.3,270,,,,,9.0,2.0,34,the great k & a train robbery
tt0017567,Fiore del deserto,The Winning of Barbara Worth,1926,1926-10-14,"Drama, Romance, Western",89,USA,"English, Spanish",Henry King,"Rupert Hughes, Frances Marion",The Samuel Goldwyn Company,"Ronald Colman, Vilma Bánky, Gary Cooper, Charles Lane, Paul McAllister, E.J. Ratcliffe, Clyde Cook, Erwin Connelly, Ed Brady, Sammy Blum, Fred Esmelton, Bill Patton, Odel Conley","While building an irrigation system for a Southwestern desert community, an engineer vies with a local cowboy for the affections of a rancher's daughter.",7.0,690,,,,,15.0,6.0,24,the winning of barbara worth
tt0019945,Il bandito e la signorina,The Great Divide,1929,1930-03-17,"Action, Romance, Western",72,USA,English,Reginald Barker,"William Vaughn Moody, Fred Myton",First National Pictures,"Dorothy Mackaill, Ian Keith, Myrna Loy, Creighton Hale, Lucien Littlefield, Ben Hendricks Jr., George Fawcett, Claude Gillingwater, Roy Stewart, Jean Laverty, Frank Tang","Steven Ghent has decided to sell the mine he's owned for fifteen years, located at the border of Mexico where the Great Divide ends. When the representatives are delayed for a few days, he ...",5.2,117,,,,,6.0,1.0,35,the great divide
tt0020502,L'ondata dei forti,Tide of Empire,1929,1929-03-23,Western,73,USA,English,Allan Dwan,"Peter B. Kyne, Joseph Farnham",Cosmopolitan Productions,"Renée Adorée, Tom Keene, George Fawcett, William Collier Jr., Fred Kohler, James Bradbury Sr., Harry Gribbon, Paul Hurst, Rosita Delmar","California's gold dicovery in 1848 draws a ""tide of empire"" to the area, which becomes ripe for bandits.",6.4,170,,,,,7.0,2.0,18,tide of empire
tt0020556,L'uomo della Virginia,The Virginian,1929,1929-11-09,"Romance, Western",91,USA,English,Victor Fleming,"Owen Wister, Kirk La Shelle",Paramount Pictures,"Gary Cooper, Walter Huston, Mary Brian, Richard Arlen, Helen Ware, Chester Conklin, Eugene Pallette, Victor Potel, E.H. Calvert",A good-natured cowboy who is romancing the new schoolmarm has a crisis of conscience when he discovers his best friend is engaged in cattle rustling.,6.8,661,$ 425000,,,,13.0,10.0,25,the virginian
tt0020691,Il grande sentiero,The Big Trail,1930,1931-03-14,"Adventure, Western, Romance",125,USA,English,"Raoul Walsh, Louis R. Loeffler",Hal G. Evarts,Fox Film Corporation,"John Wayne, Marguerite Churchill, El Brendel, Tully Marshall, Tyrone Power Sr., David Rollins, Frederick Burton, Ian Keith, Charles Stevens, Louise Carver",Breck Coleman leads hundreds of settlers in covered wagons from the Mississippi River to their destiny out West.,7.2,3312,$ 2000000,,,,63.0,43.0,18,the big trail
tt0021303,River's End,River's End,1930,1930-11-01,"Drama, Romance, Western",75,USA,English,Michael Curtiz,"James Oliver Curwood, Charles Kenyon",Warner Bros.,"Charles Bickford, Evalyn Knapp, J. Farrell MacDonald, Zasu Pitts, Walter McGrail, David Torrence, Frank Coghlan Jr., Tom Santschi","Sgt. Conniston and his alcoholic guide O'Toole are on the trail of an escaped murderer named Keith. When they catch up with him in the farthest reaches of Northern Canada, Keith turns out ...",5.5,108,,,,,4.0,1.0,34,river's end
tt0021463,The Texan,The Texan,1930,1930-05-10,"Adventure, Romance, Western",79,USA,"English, Spanish",John Cromwell,"Oliver H.P. Garrett, O. Henry",Paramount Pictures,"Gary Cooper, Fay Wray, Emma Dunn, Oscar Apfel, James A. Marcus, Donald Reed, Soledad Jiménez, Veda Buckland, César Vanoni, Ed Brady, Enrique Acosta, Romualdo Tirado","An outlaw, the Llano Kid is the scourge of south Texas and a Bible quoting lawman named Thacker. The kid joins a con man in a plot to deceive a wealthy old woman that he's her long-lost son...",6.6,117,,,,,6.0,5.0,38,the texan
tt0021746,I pionieri del West,Cimarron,1931,1931-02-09,"Drama, Western",123,USA,"English, French",Wesley Ruggles,"Edna Ferber, Howard Estabrook",RKO Radio Pictures,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil, William Collier Jr., Roscoe Ates, George E. Stone, Stanley Fields, Robert McWade, Edna May Oliver, Judith Barrett, Eugene Jackson, Roberta Gregory",A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,5.9,5304,$ 1433000,,,70.0,75.0,40.0,20,cimarron
tt0021861,L'ultima carovana,Fighting Caravans,1931,1932,"Romance, Western",92,USA,English,"Otto Brower, David Burton","Zane Grey, Edward E. Paramore Jr.",Paramount Pictures,"Gary Cooper, Lili Damita, Ernest Torrence, Tully Marshall, Fred Kohler, Eugene Pallette, Roy Stewart, May Boley, Eve Southern, Frank Campeau, Charles Winninger, Frank Hagney","A young frontier scout helps guide a freight wagon train across the country, fighting off Indians and evil traders, while his two crusty companions try and save him from falling in love.",5.7,520,,,,,19.0,6.0,32,fighting caravans
tt0021928,The Great Meadow,The Great Meadow,1931,1931-01-24,"Drama, Western",75,USA,English,Charles Brabin,"Charles Brabin, Edith Ellis",Metro-Goldwyn-Mayer (MGM),"Johnny Mack Brown, Eleanor Boardman, Lucille La Verne, Anita Louise, Gavin Gordon, Guinn 'Big Boy' Williams, Russell Simpson, Sarah Padden, Helen Jerome Eddy, Chief White Spear","Berk leaves Diony and their baby to hunt down his mother's murderer and is believed to be dead. Evan provides for them & marries Diony. Berk returns and challenges Evan to a fight but Diony will not be fought over ""as if I'm not human"".",6.2,118,,,,,9.0,3.0,45,the great meadow
tt0021966,A Holy Terror,A Holy Terror,1931,1931-07-19,"Action, Adventure, Western",53,USA,English,Irving Cummings,"Max Brand, Myron C. Fagan",Fox Film Corporation,"George O'Brien, Sally Eilers, Rita La Roy, Humphrey Bogart, James Kirkwood, Stanley Fields, Robert Warwick, Richard Tucker, Earl Pingree",Eastern millionaire's son Bard finds his father murdered and flies west to see rancher Drew who may know something about it. En route he crashes his plane into Jerry's bathroom; she falls ...,5.5,195,,,,,15.0,4.0,33,a holy terror
tt0022243,The Painted Desert,The Painted Desert,1931,1931-03-07,Western,79,USA,English,"Howard Higgin, Tom Buckingham","Tom Buckingham, Howard Higgin",Pathé Exchange,"William Boyd, Helen Twelvetrees, William Farnum, J. Farrell MacDonald, Clark Gable, Charles Sellon, Hugh Adams, Wade Boteler, Will Walling, Edmund Breese, Edward Hearn, William Le Maire, Richard Cramer",Two men find an abandoned baby and fight over the ownership of the child resulting in lifelong rivalry.,5.1,596,,,,,23.0,7.0,18,the painted desert
tt0022428,Naturich la moglie indiana,The Squaw Man,1931,1931-09-05,Western,107,USA,English,Cecil B. DeMille,"Edwin Milton Royle, Lucien Hubbard",Metro-Goldwyn-Mayer (MGM),"Warner Baxter, Lupe Velez, Eleanor Boardman, Charles Bickford, Roland Young, Paul Cavanagh, Raymond Hatton, Julia Faye, DeWitt Jennings, J. Farrell MacDonald, Mitchell Lewis, Dickie Moore, Victor Potel, Frank Rice, Eva Dennison","Jim Wyngate, an English aristocrat, comes to the American West under a cloud of suspicion for embezzlement actually committed by his cousin Lord Henry. In Wyoming, Wyngate runs afoul of ...",6.4,344,,,,,10.0,3.0,31,the squaw man
tt0022681,The Big Stampede,The Big Stampede,1932,1932-10-08,Western,54,USA,"English, Spanish",Tenny Wright,"Marion Jackson, Kurt Kempler",Leon Schlesinger Studios,"John Wayne, Noah Beery, Paul Hurst, Mae Madison, Luis Alberni, Berton Churchill, Sherwood Bailey, Lafe McKee, Joseph W. Girard, Duke",Deputy Sheriff John Steele recruits bandit Sonora Joe to help him find out who's been bumping off all the local lawmen and rustling the cattle.,5.8,465,,,,,12.0,5.0,25,the big stampede
tt0022934,Ghost Valley,Ghost Valley,1932,1932-05-13,"Romance, Western",54,USA,English,Fred Allen,"Adele Buffington, Adele Buffington",RKO Pathé Pictures,"Tom Keene, Merna Kennedy, Kate Campbell, Mitchell Harris, Ted Adams, Harry Bowen, Harry Semels","Jerry Long and Jane Worth are heirs to an abandoned mining town. Judge Drake knows there is gold there and wants them to sell. He plans to scare Jane and has hired Jerry, not knowing his ...",5.5,102,$ 41000,,,,4.0,1.0,37,ghost valley
tt0023208,Men of America,Men of America,1932,1932-11-25,"Crime, Western, Drama",58,USA,English,"Ralph Ince, William Boyd","Samuel Ornitz, Jack Jungmeyer",RKO Radio Pictures,"William Boyd, Charles 'Chic' Sale, Dorothy Wilson, Ralph Ince, Henry Armetta, Alphonse Ethier, Theresa Maxwell Conover, Eugene Strong, Gene Layman, Fred Lindstrand, Frank Mills","A gang of bank robbers hide out in a cabin near a valley road that was closed because of an earthquake. They had just robbed a bank of $50,000, but in $1000 bills, which the leader, Cicero,...",6.3,104,,,,,7.0,3.0,37,men of america
tt0023396,"Ride Him, Cowboy","Ride Him, Cowboy",1932,1932-08-27,"Action, Romance, Western",55,USA,English,Fred Allen,"Kenneth Perkins, Scott Mason",Leon Schlesinger Studios,"John Wayne, Duke, Ruth Hall, Henry B. Walthall, Otis Harlan, Harry Gribbon, Frank Hagney","John Drury saves Duke, a wild horse accused of murder, and trains him. When he discovers that the real murderer, a bad guy known as The Hawk, is the town's leading citizen, Drury arrested on a fraudulent charge.",5.5,560,,,,,17.0,10.0,38,"ride him, cowboy"
tt0023560,The Tenderfoot,The Tenderfoot,1932,1932-12-05,"Comedy, Western",70,USA,"English, Yiddish",Ray Enright,"Richard Carle, George S. Kaufman",First National Pictures,"Joe E. Brown, Ginger Rogers, Lew Cody, Vivien Oakland, Robert Greig, Ralph Ince, Marion Byron, Spencer Charters, Douglas Gerrard","Calvin Jones is a cowboy who wants to invest in a Broadway play. Ruth Weston, a secretary, learns that her boss, Joe Lehman, is attempting to swindle Jones and pulls a successful coup d'etat producing a play that she stars in.",5.8,347,,,,,9.0,4.0,41,the tenderfoot
tt0023604,Tombstone Canyon,Tombstone Canyon,1932,1932-12-25,Western,62,USA,English,Alan James,Claude Rister,K.B.S. Productions Inc.,"Ken Maynard, Cecilia Parker, Sheldon Lewis, Frank Brownlee, Jack Rube Clifford, George Gerwing, Lafe McKee, Edward Peil Sr.","Maynard hears the cry of the weird masked ""phantom"" of Tombstone Canyon. The plot thickens when Maynard discovers a man with a key to his past has been murdered by the phantom.",6.1,140,,,,,15.0,4.0,32,tombstone canyon
tt0024444,Phantom Thunderbolt,Phantom Thunderbolt,1933,1933-03-05,"Action, Adventure, Western",63,USA,English,Alan James,"Forrest Sheldon, Betty Burbridge",K.B.S. Productions Inc.,"Ken Maynard, Tarzan, Frances Lee, Frank Rice, William Gould, Bob Kortman, Frank Beal, William Robyns, Wilfred Lucas",A cowboy called The Thunderbolt Kid comes to the aid of a town that is being threatened by outlaws who don't want a railroad to go through the town.,5.9,101,,,,,7.0,,29,phantom thunderbolt
tt0024500,Il cavaliere del destino,Riders of Destiny,1933,1940,"Music, Romance, Western",53,USA,English,Robert N. Bradbury,Robert N. Bradbury,Paul Malvern Productions,"John Wayne, Cecilia Parker, Forrest Taylor, George 'Gabby' Hayes, Al St. John, Heinie Conklin, Yakima Canutt, Earl Dwire, Lafe McKee, Addie Foster",Bad guy Kincaid controls the local water supply and plans to do in the other ranchers. Government agent Saunders shows up undercover to do in Kincaid and win the heart of one of his victims Fay Denton.,5.5,908,$ 15000,,,,29.0,8.0,37,riders of destiny
tt0024539,Segreti,Secrets,1933,1933-03-16,"Drama, Western",90,USA,English,Frank Borzage,"Frances Marion, Salisbury Field",Mary Pickford Company,"Mary Pickford, Leslie Howard, C. Aubrey Smith, Blanche Friderici, Doris Lloyd, Herbert Evans, Ned Sparks, Allan Sears, Mona Maris, Huntley Gordon, Ethel Clayton, Bessie Barriscale, Theodore von Eltz","In the late 1800s New England, banker William Marlowe and his wife Martha have arranged for their daughter Mary to marry the officious and older Lord Hurley of England. Mary does not want ...",6.5,578,$ 531641,,,,26.0,3.0,34,secrets
tt0024674,To the Last Man,To the Last Man,1933,1933-09-15,"Action, Romance, Western",74,USA,English,Henry Hathaway,"Zane Grey, Jack Cunningham",Paramount Pictures,"Randolph Scott, Esther Ralston, Jack La Rue, Buster Crabbe, Barton MacLane, Noah Beery, Gail Patrick, Egon Brecher, Muriel Kirkland, Fuzzy Knight, James Eagles, Eugenie Besserer, Harlan Knight, Jay Ward","In Kentucky just after the Civil War, the Hayden-Colby feud leads to Jed Colby being sent to prison for 15 years for murder. The Haydens head for Nevada and when Colby gets out of prison he heads there also seeking revenge. The head of the Hayden family tries to avoid more killing but the inevitable showdown has to occur, complicated by Lynn Hayden and Ellen Colby's plans to marry.",6.4,458,,,,,24.0,11.0,69,to the last man
tt0025371,Laughing Boy,Laughing Boy,1934,1934-04-13,"Drama, Romance, Western",79,USA,English,W.S. Van Dyke,"John Colton, John Lee Mahin",Metro-Goldwyn-Mayer (MGM),"Ramon Novarro, Lupe Velez, William B. Davidson, Chief Thunderbird, Catalina Rambula, Harlan Knight, Philip Armenta, Deer Spring, Pellicana","Laughing Boy, is a Navaho from a remote part of the reservation, while Slim Girl was raised by whites in a town and lives as a white man's mistress. They meet at a pow-wow and marry, in ...",4.8,113,$ 518000,,,,6.0,3.0,38,laughing boy
tt0025893,The Thundering Herd,The Thundering Herd,1933,1933-03-01,Western,62,USA,English,Henry Hathaway,"Zane Grey, Jack Cunningham",Paramount Pictures,"Randolph Scott, Judith Allen, Buster Crabbe, Noah Beery, Raymond Hatton, Blanche Friderici, Harry Carey, Monte Blue, Barton MacLane, Al Bridge, Dick Rush, Frank Rice, Buck Connors, Charles McMurphy",Both Sprague and Jett and their crews are hunting buffalo. Doan is with Sprague and is looking for the Jett outfit where his girlfriend Milly is being held against her will. In addition to ...,5.7,187,,,,,11.0,4.0,35,the thundering herd
tt0025939,Rocky Mountain Mystery,Rocky Mountain Mystery,1935,1935-03-01,"Mystery, Western",63,USA,English,Charles Barton,"Edward E. Paramore Jr., Ethel Doherty",Paramount Pictures,"Randolph Scott, Charles 'Chic' Sale, Mrs. Leslie Carter, George F. Marion, Kathleen Burke, Ann Sheridan, James Eagles, Howard Wilson, Willie Fung, Florence Roberts",The heirs of the dying owner of a valuable radium mine are being murdered as a mining engineer tries to uncover the killer and clear his cousin's name.,6.0,275,,,,,15.0,5.0,28,rocky mountain mystery
tt0026614,Terra di fuorilegge,Lawless Range,1935,1935-11-04,Western,53,USA,English,Robert N. Bradbury,"Lindsley Parsons, Lindsley Parsons",Paul Malvern Productions,"John Wayne, Sheila Bromley, Frank McGlynn Jr., Jack Curtis, Wally Howe, Julia Griffith, Yakima Canutt, Earl Dwire","John Middleton is investigating cattle rustling when he is captured and tossed into a cave with Emmett, a rancher who disappeared earlier. They help each other escape and learn that a local...",5.1,391,,,,,9.0,6.0,32,lawless range
tt0026908,Rainbow Valley,Rainbow Valley,1935,1935-03-15,"Action, Romance, Western",52,USA,English,Robert N. Bradbury,"Lindsley Parsons, Lindsley Parsons",Paul Malvern Productions,"John Wayne, Lucile Browne, George 'Gabby' Hayes, LeRoy Mason, Lloyd Ingraham, Jay Wilsey, Frank Ball, Bert Dillard",John Martin is a government agent working under cover. Leading citizen Morgan calls in gunman Galt who blows Martin's cover.,5.5,533,,,,,18.0,5.0,20,rainbow valley
tt0027139,Tumbling Tumbleweeds,Tumbling Tumbleweeds,1935,1935-09-05,Western,61,USA,English,Joseph Kane,"Alan Ludwig, Ford Beebe",Republic Pictures (I),"Gene Autry, Smiley Burnette, Lucile Browne, George 'Gabby' Hayes, Norma Taylor, Edward Hearn, Eugene Jackson, Jack Rockwell, George Chesebro, Frankie Marvin",After a five year absence Gene returns home to find his father murdered and his boyhood pal accused of the dastardly deed.,6.4,112,$ 12500,,,,6.0,1.0,22,tumbling tumbleweeds
tt0027332,Bar 20 Rides Again,Bar 20 Rides Again,1935,1935-12-06,"Action, Adventure, Western",61,USA,English,Howard Bretherton,"Clarence E. Mulford, Doris Schroeder",Harry Sherman Productions,"William Boyd, James Ellison, Jean Rouverol, George 'Gabby' Hayes, Harry Worth, Frank McGlynn Jr., Howard Lang, Ethel Wales, Paul Fix, J.P. McGowan, Joe Rickson, Al St. John, John Merton, Frank Layton, Chill Wills",Cattle rustler Nevada dreams of living like an emperor in the West. Hoppy and the Bar 20 boys aim to put an end to his dream.,6.9,177,,,,,7.0,1.0,26,bar 20 rides again
tt0027415,Il falco nero,Call of the Prairie,1936,1936-03-06,Western,63,USA,English,Howard Bretherton,"Clarence E. Mulford, Doris Schroeder",Harry Sherman Productions,"William Boyd, James Ellison, Muriel Evans, George 'Gabby' Hayes, Chester Conklin, Al Bridge, Willie Fung, Howard Lang, Hank Mann, Al Hill, Jim Mason, John Merton, Chill Wills and His Avalon Boys","Hoppy has to bust up a gang of outlaws with the help of his sidekicks Shanghai and Johnny. As usual, he walks through the fusillade unscathed.",6.9,141,,,,,7.0,1.0,26,call of the prairie
